iter	Passed	Remaining
417	3466	679
418	3475	671
419	3482	663
420	3490	654
421	3497	646
422	3507	638
423	3515	630
424	3523	621
425	3532	613
426	3540	605
427	3547	596
428	3554	588
429	3563	580
430	3572	571
431	3580	563
432	3589	555
433	3597	547
434	3604	538
435	3612	530
436	3620	521
437	3627	513
438	3634	504
439	3640	496
440	3648	488
441	3655	479
442	3663	471
443	3670	462
444	3678	454
445	3686	446
446	3693	437
447	3700	429
448	3707	421
449	3714	412
450	3722	404
451	3729	396
452	3737	387
453	3745	379
454	3753	371
455	3759	362
456	3766	354
457	3775	346
458	3783	337
459	3792	329
460	3800	321
461	3810	313
462	3819	305
463	3827	296
464	3835	288
465	3843	280
466	3850	272
467	3857	263
468	3866	255
469	3876	247
470	3884	239
471	3892	230
472	3900	222
473	3908	214
474	3916	206
475	3925	197
476	3933	189
477	3940	181
478	3948	173
479	3957	164
480	3966	156
481	3975	148
482	3984	140
483	3992	131
484	3999	123
485	4005	115
486	4014	107
487	4022	98
488	4030	90
489	4038	82
490	4045	74
491	4053	65
492	4061	57
493	4070	49
494	4077	41
495	4083	32
496	4091	24
497	4098	16
498	4108	8
499	4115	0
