iter	Logloss
131	0.4525015636
132	0.4522558502
133	0.4519933842
134	0.4516198869
135	0.451403768
136	0.4510987712
137	0.4508348391
138	0.4505069079
139	0.4504202521
140	0.4501710772
141	0.4498899103
142	0.4494612986
143	0.4491521702
144	0.4488343588
145	0.4486299703
146	0.4483354779
147	0.4481136501
148	0.4478415192
149	0.4475118634
150	0.4472174194
151	0.4468694774
152	0.4466414462
153	0.4464431432
154	0.4461754809
155	0.4458795117
156	0.445566013
157	0.445278451
158	0.4449675046
159	0.4446817908
160	0.4443783801
161	0.444169922
162	0.4438943803
163	0.4437089512
164	0.4434889776
165	0.4433061736
166	0.4430689093
167	0.4427340003
168	0.4423907049
169	0.4421714993
170	0.4418260761
171	0.4416005891
172	0.4413413943
173	0.4411470929
174	0.4409899096
175	0.4407917351
176	0.4406912997
177	0.4403818326
178	0.4401556953
179	0.439898148
180	0.4397478185
181	0.4395996109
182	0.4393891227
183	0.439193122
184	0.4388990357
185	0.4386646888
186	0.4384706262
187	0.4382626713
188	0.4380467733
189	0.4378087468
190	0.4375709164
191	0.4374261882
192	0.4370953656
193	0.4368561071
194	0.4366494783
195	0.4363521541
196	0.436134244
197	0.4359635612
198	0.4358019477
199	0.4355741806
200	0.4353618218
201	0.4350819198
202	0.434956108
203	0.4346470488
204	0.4343671465
205	0.4343313851
206	0.4341328739
207	0.4338646535
208	0.4338422717
209	0.4336645788
210	0.4334053612
211	0.433183721
212	0.4329694252
213	0.4327777287
214	0.4324810404
215	0.4322669839
216	0.4320636171
217	0.4318610611
218	0.4316080423
219	0.4314389804
220	0.4312364358
221	0.4309349653
222	0.430702465
223	0.4305517266
224	0.4303127758
225	0.4301647011
226	0.429961782
227	0.4297179556
228	0.4294439715
229	0.4292003176
230	0.4290512375
231	0.4288274021
232	0.4286316732
233	0.4284145169
234	0.4282037555
235	0.428052801
236	0.4278593483
237	0.4276589174
238	0.4275436075
239	0.4274412067
240	0.4272328124
241	0.4270532899
242	0.4268508308
243	0.4267052209
244	0.4264756723
245	0.4263197472
246	0.4261437051
247	0.4259856349
248	0.4257380617
249	0.4255546642
250	0.4254102518
251	0.4251622976
252	0.4249579786
253	0.4247446314
254	0.4245845404
255	0.424383701
256	0.4242763331
257	0.4240901738
258	0.4238797236
259	0.4236503137
260	0.4234703655
261	0.4233065211
262	0.4231426894
263	0.4229371696
264	0.4227863588
265	0.4226295606
266	0.4224814555
267	0.4222311028
268	0.4220369104
269	0.4218212365
270	0.4216265853
271	0.4214902794
272	0.4212744409
273	0.4211164835
274	0.4209830752
275	0.4208418701
276	0.4207186789
277	0.4205431318
278	0.4203729665
279	0.4201696852
280	0.4201345231
281	0.4198878724
282	0.4197098592
283	0.4195127331
284	0.4192483489
285	0.419047492
286	0.4188729756
287	0.4187199357
288	0.4184747478
289	0.4183666729
290	0.4180894145
291	0.4179840526
292	0.4178079484
293	0.4175738009
294	0.4174716684
295	0.4172961907
296	0.4170919346
297	0.4169131322
298	0.4167763604
299	0.4165779329
300	0.416310566
301	0.4160570823
302	0.4158619246
303	0.4157115459
304	0.4155761623
305	0.4153657068
306	0.4152260367
307	0.4150232428
308	0.4148348872
309	0.4145767117
310	0.414427253
311	0.4141787899
312	0.4139840763
313	0.4138319266
314	0.4136934527
315	0.4135632201
316	0.4133191465
317	0.4130762976
318	0.4129317136
319	0.4128010934
320	0.4125466284
321	0.4124080051
322	0.4121972311
323	0.4119861542
324	0.4118396444
325	0.4117623737
326	0.4115979062
327	0.4114544716
328	0.411261682
329	0.4110814573
330	0.410847817
331	0.4106009432
332	0.4104117397
333	0.4102773656
334	0.4100952511
335	0.4099068572
336	0.4097830678
337	0.4097063222
338	0.4095907444
339	0.4093948424
340	0.4091668854
341	0.4089737609
342	0.4087865971
343	0.4086359697
344	0.4084554945
345	0.408370715
346	0.4082917587
347	0.4080860151
348	0.4079792893
349	0.4078023061
350	0.4076232926
351	0.4074369396
352	0.4073156711
353	0.4071329686
354	0.4069943204
355	0.4067917196
356	0.4066340638
357	0.4065109537
358	0.4063257807
359	0.4061411038
360	0.4059459293
361	0.4057948854
362	0.4055711997
363	0.4053743095
364	0.4051684227
365	0.405078049
366	0.4049161432
367	0.404775001
368	0.4045881671
369	0.4044445774
370	0.404227412
371	0.404044069
372	0.4038710564
373	0.4036796276
374	0.4035455216
375	0.403377803
376	0.4031846905
377	0.4030136066
378	0.4028327135
379	0.4027083338
380	0.4024976728
381	0.4023623485
382	0.4021795433
383	0.4020490548
384	0.4018620364
385	0.4017209592
386	0.4016206845
387	0.401458782
388	0.4012924355
389	0.4011008603
390	0.4008706848
391	0.4006607427
392	0.4005033146
393	0.4003363339
394	0.4001894727
395	0.3999615131
396	0.3997802299
397	0.3996325041
398	0.3994957401
399	0.3993124194
400	0.3991846333
401	0.3989749359
402	0.398768579
403	0.3985424327
404	0.398366998
405	0.3983152838
406	0.3981771942
407	0.3980074206
408	0.3979549266
409	0.3978077473
410	0.3976400019
411	0.3974454553
412	0.3973131476
413	0.3972198258
414	0.3970488174
415	0.3968749133
416	0.3966953812
417	0.3965434554
418	0.3964631113
419	0.3964200839
420	0.3963101782
421	0.3961969644
422	0.3960455262
423	0.3958795422
424	0.3957772093
425	0.3956212333
426	0.3954469273
427	0.3952971071
428	0.3951046158
429	0.3950125395
430	0.3948610024
431	0.3946718265
432	0.3944761768
433	0.3943718064
434	0.3942667821
435	0.3941130438
436	0.3939883522
437	0.3938441804
438	0.3938034929
439	0.3936510412
440	0.393517315
441	0.3933915509
442	0.3932972702
443	0.3931754084
444	0.3930768123
445	0.3928417679
446	0.3926790146
447	0.3925635996
448	0.3924666107
449	0.3923640406
450	0.392153309
451	0.3919994878
452	0.3918842194
453	0.39172407
454	0.3915694397
455	0.3914374411
456	0.391362465
457	0.3912442567
458	0.3911384826
459	0.3909046001
460	0.3907170822
461	0.3906383872
462	0.3905283962
463	0.3904370495
464	0.3902684108
465	0.3901718459
466	0.3900928654
467	0.3900203917
468	0.3898357336
469	0.3897066964
470	0.3895233186
471	0.3893421054
472	0.3891350639
473	0.3889810248
474	0.3888089135
475	0.3885723768
476	0.3883771852
477	0.3881749947
478	0.387969638
479	0.3878242347
480	0.3876990427
481	0.3875290322
482	0.3874139625
483	0.3872876243
484	0.3871401996
485	0.3870401388
486	0.3868717389
487	0.3867432058
488	0.3866557744
489	0.3865157464
490	0.3863465979
491	0.3862175154
492	0.3860685814
493	0.3859717681
494	0.3858808846
495	0.3857172529
496	0.3855791281
497	0.3854471272
498	0.3853152358
499	0.3851938237
